"year","biomass","ST","CO","PS","tice"
2003,4.66908351173174,-0.616262279080567,-0.301516565686302,-0.417999113999895,0.9
2004,4.73444252169223,-0.357465615621683,-1.26457763108185,-0.630964578313499,0.96
2005,4.56121829845891,-0.779234533979987,-0.0572001892142683,-0.75035430830749,0.87
2006,NA,-0.753211484823001,0.407285014892433,-0.690121651733945,0.72
2007,5.52345892052492,1.23028487412398,-0.964863936688841,-1.13756424342313,0.64
2008,5.53417969027002,0.773601310206211,0.145923309829337,1.19806457353137,0.98
2009,5.52704529615615,2.12724677383264,-1.38531537526861,-0.512865548103228,0.89
2010,3.09557760852371,0.450682736355856,-1.43361047294332,-1.13917761815278,0.39
2011,5.30876262440958,0.434538204249161,-0.987591041476937,0.269298520830373,0.8
2012,5.15905529921453,-0.129291423961484,0.0606966668739745,-0.0791904207737066,0.86
2013,6.50368919178768,1.12235672177057,0.103309988351656,-0.0288531292086725,0.49
2014,6.65865268849783,1.35256992873144,-0.490435624237345,0.214150439162388,0.76
2015,5.90454407507728,2.19299803435022,-0.129642835726325,-0.359665533931041,0.75
2016,NA,-0.661092683978916,-0.00890509153956402,0.985576399241953,0.81
2017,4.89110072540107,-0.360175255606289,-1.00747725816652,0.583321744772337,0.93
2018,5.66608060747219,-0.92989943786258,0.834838673718484,-0.0112370938793229,0.57
2019,5.64332450561909,-0.275336827791489,0.643078727068925,-1.31832271469613,0.7
2020,NA,-1.19694958099577,0.222627288489157,1.04509648197657,0.9
2021,NA,-0.945865330442197,1.04506439300837,0.663056068390508,0.81
2022,5.5683445037611,-1.20967159500919,1.68994599137058,1.5492424730182,0.66
2023,5.80784214458098,-0.94618633355204,3.212662012173,-0.601923833179826,0.62
2024,6.4723462945009,-0.0868694853151451,0.126037093139749,2.9071662038057,0.71
2025,NA,-0.0215383103644793,0.438534783976068,-0.844535058150722,0.34
2026,NA,-0.415228405235257,0,0,0.735925925925926
