"","Species","Fish.ID","Sweep","Length.mm","Weight.g","Year","Site","Station","Area","pass_no"
"1","AS",1,1,137,30,1990,"Pamehac","1",102,NA
"2","BT",2,1,93,9,1990,"Pamehac","1",102,NA
"3","BTYOY",3,1,35,1,1990,"Pamehac","1",102,NA
"4","BTYOY",4,1,42,1,1990,"Pamehac","1",102,NA
"5","BTYOY",5,1,43,1,1990,"Pamehac","1",102,NA
"6","AS",6,2,95,10,1990,"Pamehac","1",102,NA
"7","BT",7,2,74,4,1990,"Pamehac","1",102,NA
"8","BT",8,2,67,4,1990,"Pamehac","1",102,NA
"9","BTYOY",9,2,40,1,1990,"Pamehac","1",102,NA
"10","BT",10,2,95,10,1990,"Pamehac","1",102,NA
"11","BTYOY",11,2,39,1,1990,"Pamehac","1",102,NA
"12","BT",12,3,69,5,1990,"Pamehac","1",102,NA
"13","BT",13,3,88,7,1990,"Pamehac","1",102,NA
"14","BTYOY",14,3,41,1,1990,"Pamehac","1",102,NA
"15","BTYOY",15,3,40,1,1990,"Pamehac","1",102,NA
"16","BT",16,3,112,17,1990,"Pamehac","1",102,NA
"17","BTYOY",17,4,47,1,1990,"Pamehac","1",102,NA
"18","BTYOY",18,4,48,1,1990,"Pamehac","1",102,NA
"19","BT",19,4,108,15,1990,"Pamehac","1",102,NA
"20","BT",20,5,68,4,1990,"Pamehac","1",102,NA
"21","BT",21,5,77,5,1990,"Pamehac","1",102,NA
"22","AS",1,1,140,32,1990,"Pamehac","2",100,NA
"23","AS",2,1,101,12,1990,"Pamehac","2",100,NA
"24","BTYOY",3,1,42,1,1990,"Pamehac","2",100,NA
"25","BT",4,1,158,46,1990,"Pamehac","2",100,NA
"26","BT",5,1,84,7,1990,"Pamehac","2",100,NA
"27","BT",6,1,93,10,1990,"Pamehac","2",100,NA
"28","BT",7,1,131,27,1990,"Pamehac","2",100,NA
"29","BT",8,1,172,60,1990,"Pamehac","2",100,NA
"30","BT",9,1,103,13,1990,"Pamehac","2",100,NA
"31","BT",10,1,158,47,1990,"Pamehac","2",100,NA
"32","BTYOY",11,1,41,1,1990,"Pamehac","2",100,NA
"33","BTYOY",12,1,42,1,1990,"Pamehac","2",100,NA
"34","BTYOY",13,1,35,1,1990,"Pamehac","2",100,NA
"35","BTYOY",14,1,34,1,1990,"Pamehac","2",100,NA
"36","BTYOY",15,1,36,1,1990,"Pamehac","2",100,NA
"37","BTYOY",16,1,40,1,1990,"Pamehac","2",100,NA
"38","BTYOY",17,1,35,1,1990,"Pamehac","2",100,NA
"39","BTYOY",18,1,47,1,1990,"Pamehac","2",100,NA
"40","BT",19,1,88,8,1990,"Pamehac","2",100,NA
"41","BTYOY",20,2,37,1,1990,"Pamehac","2",100,NA
"42","BTYOY",21,2,37,1,1990,"Pamehac","2",100,NA
"43","BT",22,2,102,12,1990,"Pamehac","2",100,NA
"44","BT",23,2,69,4,1990,"Pamehac","2",100,NA
"45","BT",24,2,124,24,1990,"Pamehac","2",100,NA
"46","BTYOY",25,2,41,1,1990,"Pamehac","2",100,NA
